pageid,title,protection_status,view_count,,,,,,,Measures of Central Tendencies ,Protected Articles,Unprotected Articles
33331732,The World's Billionaires,"autoconfirmed,autoconfirmed",25396952,,,,,,,,,
14723736,Tyson Fury,"autoconfirmed,autoconfirmed",25395234,,,,,,,,,
3383,Brazil,"autoconfirmed,sysop",25353687,,,,,,,,,
2629332,Kristen Stewart,"autoconfirmed,autoconfirmed",25311859,,,,,,,,,
46252498,Halsey (singer),"autoconfirmed,autoconfirmed",25275015,,,,,,,,,
783,Alexander the Great,"autoconfirmed,sysop",25263596,,,,,,,,,
707815,Jason Statham,"autoconfirmed,autoconfirmed",25234393,,,,,,,,,
391324,Mike Pence,"autoconfirmed,autoconfirmed",25215887,,,,,,,,,
32070,Republican Party (United States),"autoconfirmed,sysop",25211255,,,,,,,,,
44953417,List of Bollywood films of 2016,autoconfirmed,25206384,,,,,,,,,
69880,Napoleon,"autoconfirmed,sysop",25178894,,,,,,,,,
43356,Tiger Woods,"autoconfirmed,sysop",25145991,,,,,,,,,
278119,Charlie Sheen,"autoconfirmed,autoconfirmed",25130198,,,,,,,,,
102690,Adam Sandler,"autoconfirmed,autoconfirmed",24993509,,,,,,,,,
20796,Malcolm X,"autoconfirmed,sysop",24938234,,,,,,,,,
147301,Nancy Pelosi,"autoconfirmed,sysop",24925054,,,,,,,,,
21492751,Nelson Mandela,"autoconfirmed,sysop",24858544,,,,,,,,,
6479315,Shakira,autoconfirmed,24857139,,,,,,,,,
4637590,Bob Dylan,"autoconfirmed,sysop",24756098,,,,,,,,,
26667,Spain,"autoconfirmed,sysop",24744580,,,,,,,,,
142056,Madonna (entertainer),"autoconfirmed,sysop",24732062,,,,,,,,,
11778948,Atomic bombings of Hiroshima and Nagasaki,"autoconfirmed,sysop",24709784,,,,,,,,,
14653,Iran,"autoconfirmed,sysop",24629491,,,,,,,,,
24537060,Kendall Jenner,"autoconfirmed,sysop",24598786,,,,,,,,,
211518,Warren Buffett,"autoconfirmed,sysop",24553696,,,,,,,,,
508396,Jake Gyllenhaal,"autoconfirmed,autoconfirmed",24545107,,,,,,,,,
4501,Black Death,"autoconfirmed,autoconfirmed",24490680,,,,,,,,,
